PDV;Descripcion;nombre_planta
VNTP017;TDA.SANTA CRUZ (2);VILLANUEVA
VNTP018;TDA.PEÑA BLANCA #1;VILLANUEVA
VNTP019;TDA.PEÑA BLANCA #2;VILLANUEVA
VNTP020;TDA.RIO LINDO #1;VILLANUEVA
VNTP021;TDA.DOS CAMINOS #2;VILLANUEVA
VNTP022;TDA. VILLANUEVA #4;VILLANUEVA
VNTP023;TDA.CALAN;VILLANUEVA
VNTP024;TDA.DOS CAMINOS #1;VILLANUEVA
VNTP025;TDA.DOS CAMINOS 1 (#3);VILLANUEVA
VNTP026;TDA.VILLANUEVA #1;VILLANUEVA
VNTP028;TDA.VILLANUEVA #2;VILLANUEVA
VNTP029;TDA.VILLANUEVA #2 (REGALO DE DIOS);VILLANUEVA
VNTP031;TDA.SIGUATEPEQUE #1;VILLANUEVA
VNVIP034;TDA.SIGUATEPEQUE #1 (VIP 19);VILLANUEVA
VNTP032;TDA.AZACUALPA;VILLANUEVA
VNTP033;TDA.EL NEGRITO;VILLANUEVA
VNTP034;TDA.LA FLECHA;VILLANUEVA
VNTP035;TDA.LA FLECHA (QUIMISTAN);VILLANUEVA
VNTP036;TDA.SULA;VILLANUEVA
VNTP037;TDA.POTRERILLOS;VILLANUEVA
VNTP116;TDA.ESPERANZA # 6;VILLANUEVA
VNGRN004;VILLANUEVA GRANEL 4;VILLANUEVA
VNGRN005;VILLANUEVA GRANEL 5;VILLANUEVA
VNTP127;TDA.STA. BARBARA(#5);VILLANUEVA
VNCI001;VILLANUEVA AUTOCONSUMO;VILLANUEVA
VNTP130;TDA.REAL DEL PUENTE (VILLAS DEL RIO#3);VILLANUEVA
VNTP117;TDA. RIO LINDO # 4;VILLANUEVA
VNTP122;TDA.EL PLAN 3;VILLANUEVA
VNTP126;TDA.VILLA REAL (PUEBLO NUEVO);VILLANUEVA
VNTP128;TDA.SANTA CRUZ (3);VILLANUEVA
VNTP115;TDA.ESPERANZA # 5;VILLANUEVA
VNTP118;TDA. BOGRAN # 3;VILLANUEVA
VNGRNDEMO001;DEMO APP (PRUEBAS IT);VILLANUEVA
VNTP120;TDA.TAULABE 2;VILLANUEVA
VNTP121;TDA.EL PLAN 2;VILLANUEVA
VNGRN002;VILLANUEVA GRANEL 2;VILLANUEVA
VNGRN002;VILLANUEVA GRANEL 2;VILLANUEVA
VNTP125;TDA.DOS CAMINOS #2 (5);VILLANUEVA
VNTP129;TDA.REAL DEL PUENTE (VILLAS DEL RIO#2);VILLANUEVA
VNTP114;TDA.ESPERANZA # 4;VILLANUEVA
VNTP119;TDA.DOS CAMINOS #2 (4);VILLANUEVA
VNGRN008;VILLANUEVA GRANEL 8;VILLANUEVA
VNGRN008;VILLANUEVA GRANEL 8;VILLANUEVA
VNGRN001;VILLANUEVA GRANEL 1;VILLANUEVA
VNGRN003;VILLANUEVA GRANEL 3;VILLANUEVA
VNGRN006;VILLANUEVA GRANEL 6;VILLANUEVA
VNTP131;"TDA.CHOLOMA (#5)
";VILLANUEVA
VNTP132;"TDA.CHOLOMA (#6)
";VILLANUEVA
VNTP133;TDA. QUIMISTAN;VILLANUEVA
VNGRN007;VILLANUEVA GRANEL 7;VILLANUEVA
VNGRN007;VILLANUEVA GRANEL 7;VILLANUEVA
VNTP123;TDA.SIGUATEPEQUE (2);VILLANUEVA
VNTP124;TDA.SANTA RITA #2(3);VILLANUEVA
VNTP101;TDA.CEDIS SIGUATEPEQUE;VILLANUEVA
VNTP102;TDA.CEDIS SIGUATEPEQUE (2);VILLANUEVA
VNTP103;Tda.Rio Lindo #3;VILLANUEVA
VNTP104;TDA.RIO LINDO #3 (2);VILLANUEVA
VNTP105;TDA. SIGUATEPEQUE #5;VILLANUEVA
VNTP107;TDA.CEDIS VILLANUEVA #1 (BENDICION);VILLANUEVA
VNTP108;TDA.JESUS DE OTORO;VILLANUEVA
VNTP109;TDA.POTRERILLOS #3;VILLANUEVA
VNTP110;TDA.SIGUATEPEQUE #3;VILLANUEVA
VNTP112;LA LIBERTAD;VILLANUEVA
VNTP111;BUENA VISTA#1;VILLANUEVA
VNPB001;PLANTA VILLANUEVA - CAJA;VILLANUEVA
VNVIP001;PLANTA VILLANUEVA - VIP 02;VILLANUEVA
VNVIP003;PLANTA VILLANUEVA - VIP 04;VILLANUEVA
VNVIP004;PLANTA VILLANUEVA - VIP 05;VILLANUEVA
VNVIP005;PLANTA VILLANUEVA - VIP 06;VILLANUEVA
VNVIP006;PLANTA VILLANUEVA - VIP 07;VILLANUEVA
VNVIP007;PLANTA VILLANUEVA - VIP 08;VILLANUEVA
VNVIP008;PLANTA VILLANUEVA - VIP 09;VILLANUEVA
VNVIP009;PLANTA VILLANUEVA - VIP 10;VILLANUEVA
VNVIP010;PLANTA VILLANUEVA - VIP 12;VILLANUEVA
VNVIP011;PLANTA VILLANUEVA - VIP 13;VILLANUEVA
VNVIP012;PLANTA VILLANUEVA - VIP 14;VILLANUEVA
VNVIP013;PLANTA VILLANUEVA - VIP 15;VILLANUEVA
VNVIP014;PLANTA VILLANUEVA - VIP 16;VILLANUEVA
VNVIP015;PLANTA VILLANUEVA - VIP 17;VILLANUEVA
VNVIP018;PLANTA VILLANUEVA - VIP 22;VILLANUEVA
VNVIP020;PLANTA VILLANUEVA - VIP 26;VILLANUEVA
VNVIP022;PLANTA VILLANUEVA - VIP 38;VILLANUEVA
VNVIP023;PLANTA VILLANUEVA - VIP 29;VILLANUEVA
VNVIP024;PLANTA VILLANUEVA - VIP 30;VILLANUEVA
VNVIP025;PLANTA VILLANUEVA - VIP 35;VILLANUEVA
VNVIP026;PLANTA VILLANUEVA - VIP 36;VILLANUEVA
VNVIP027;PLANTA VILLANUEVA - VIP 37;VILLANUEVA
VNVIP028;PLANTA VILLANUEVA - VIP 39;VILLANUEVA
VNVIP029;PLANTA VILLANUEVA - VIP 40;VILLANUEVA
VNVIP030;PLANTA VILLANUEVA - VIP 42;VILLANUEVA
VNVIP031;PLANTA VILLANUEVA - VIP 43;VILLANUEVA
VNCMD001;PLANTA VILLANUEVA - (CAMION);VILLANUEVA
VNCMD002;PLANTA VILLANUEVA - (CAMION 2);VILLANUEVA
VNTP001;PLANTA VILLANUEVA - (B. VISTA 2);VILLANUEVA
VNVIP032;PLANTA VILLANUEVA - VIP 34;VILLANUEVA
VNVIP033;PLANTA VILLANUEVA - VIP 01;VILLANUEVA
VNTP002;TDA.PIMIENTA;VILLANUEVA
VNTP003;TDA.SAN MANUEL;VILLANUEVA
VNTP004;TDA.SAN MANUEL (#2);VILLANUEVA
VNTP005;TDA.STA. BARBARA;VILLANUEVA
VNTP006;TDA.STA. BARBARA (#2);VILLANUEVA
VNTP007;TDA.STA. BARBARA (#3);VILLANUEVA
VNTP008;TDA.STA. BARBARA (#4);VILLANUEVA
VNTP009;TDA.STA. BARBARA (GALERAS 1);VILLANUEVA
VNTP010;TDA.STA. BARBARA (GALERAS 2);VILLANUEVA
VNTP011;TDA.ESPERANZA # 1;VILLANUEVA
VNTP012;TDA.ESPERANZA #3;VILLANUEVA
VNTP013;TDA.ESPERANZA # 2;VILLANUEVA
VNTP014;TDA.TAULABE;VILLANUEVA
VNTP015;TDA.YOJOA;VILLANUEVA
VNTP016;TDA.SANTA CRUZ (1);VILLANUEVA
VNTP038;TDA.POTRERILLOS (4);VILLANUEVA
VNTP039;TDA.POTRERILLOS #2;VILLANUEVA
VNTP040;TDA.TRINIDAD;VILLANUEVA
VNTP041;TDA.LAS VEGAS;VILLANUEVA
VNTP042;TDA.SANTA RITA #1;VILLANUEVA
VNTP043;TDA.SANTA RITA #2;VILLANUEVA
VNTP044;TDA.MORAZAN;VILLANUEVA
VNTP046;DIGAS;VILLANUEVA
VNCMD003;DIGAS (CAMION);VILLANUEVA
VNTP047;TDA. PROGRESO #8;VILLANUEVA
VNTP048;TDA.MONTEFRESCO;VILLANUEVA
VNTP049;TDA.MONTEFRESCO (UNION);VILLANUEVA
VNTP050;TDA.GUAMILITO;VILLANUEVA
VNTP051;TDA.SANTA MARTHA;VILLANUEVA
VNTP052;TDA.SANTA MARTHA (BRISAS DEL CARMEN);VILLANUEVA
VNTP053;TDA.SANTA MARTHA (RIVERA H.);VILLANUEVA
VNTP054;TDA.SANTA MARTHA (LOS ANGELES);VILLANUEVA
VNTP055;TDA. CIRCUNVALACION;VILLANUEVA
VNTP056;TDA. CIRCUNVALACION (BOGRAN 2);VILLANUEVA
VNTP057;TDA.15/20;VILLANUEVA
VNTP058;TDA.15/20 (CABANAS);VILLANUEVA
VNTP059;TDA.COFRADIA #1;VILLANUEVA
VNTP060;TDA.CHAMELECON;VILLANUEVA
VNTP061;TDA.CHAMELECON (#2);VILLANUEVA
VNTP063;TDA.CHAMELECON (#4);VILLANUEVA
VNTP064;TDA.CHOLOMA #1;VILLANUEVA
VNTP066;TDA.CHOLOMA (#3);VILLANUEVA
VNTP067;TDA.CHOLOMA (#4);VILLANUEVA
VNTP068;TDA.LOPEZ ARELLANO 1;VILLANUEVA
VNTP069;TDA.LOPEZ ARELLANO 9;VILLANUEVA
VNTP070;TDA.LOPEZ ARELLANO 10;VILLANUEVA
VNTP072;TDA.PAZ BARAHONA (#2);VILLANUEVA
VNTP073;TDA.LUSIANA;VILLANUEVA
VNTP074;TDA.LUSIANA (2);VILLANUEVA
VNTP074;TDA.LUSIANA (2);VILLANUEVA
VNTP075;TDA.RAPIDO CONCEPCION;VILLANUEVA
VNTP076;TDA.RAPIDO CONCEPCION (SAN PEDRO);VILLANUEVA
VNTP077;TDA.RAPIDO CONCEPCION (DIPROGAS);VILLANUEVA
VNTP079;TDA.YORO #2;VILLANUEVA
VNVIP035;TDA.YORO #2 (VIP 20);VILLANUEVA
VNTP081;TDA.LOS CASTAÑOS;VILLANUEVA
VNTP083;TDA.EL PLAN;VILLANUEVA
VNTP084;TDA.EL PLAN (SABANA);VILLANUEVA
VNTP085;TDA.PROGRESO #7;VILLANUEVA
VNTP087;TDA.REAL DEL PUENTE (VILLAS DEL RIO);VILLANUEVA
VNTP088;TDA.SAN JORGE;VILLANUEVA
VNTP089;TDA.SAN JORGE (BRISAS);VILLANUEVA
VNTP090;TDA.VILLANUEVA #3;VILLANUEVA
VNTP090;TDA.VILLANUEVA #3;VILLANUEVA
VNTP091;TDA.VILLANUEVA #3 (SANTA FE);VILLANUEVA
VNTP092;TDA.SANTIAGO;VILLANUEVA
VNTP093;TDA.MEDINA #1;VILLANUEVA
VNTP094;TDA.SAN ANTONIO;VILLANUEVA
VNTP095;TDA.PORVENIR, SAN MANUEL;VILLANUEVA
VNTP097;TDA.CEDIS PROGRESO #1 (PORVENIR);VILLANUEVA
VNTP098;TDA.VILLA REAL;VILLANUEVA
VNTP099;TDA.VILLA REAL (SIBONEY);VILLANUEVA
VNTP100;TDA.VILLA REAL (SIBONEY #2);VILLANUEVA
GBGRN004;GUANABANO GRANEL 4;GUANABANO
GBGRN003;GUANABANO GRANEL 3;GUANABANO
GBVIP004;PLANTA GUANABANO (VIP4);GUANABANO
GBVIP005;CEDIS LA GRANJA - VIP 5;GUANABANO
GBVIP007;CEDIS LA GRANJA - VIP 7;GUANABANO
GBVIP009;CEDIS LA GRANJA - VIP 9;GUANABANO
GBVIP010;CEDIS LA GRANJA - VIP 10;GUANABANO
GBVIP011;PLANTA GUANABANO (VIP 11);GUANABANO
GBVIP012;PLANTA GUANABANO (VIP12);GUANABANO
GBVIP013;PLANTA GUANABANO (VIP13);GUANABANO
GBVIP014;TDA.COMAYAGUA #1 - VIP 14;GUANABANO
GBTP022;TDA. EL PORVENIR (GB);GUANABANO
GBTP024;TDA.LAS TORRES(2);GUANABANO
GBTP024;TDA.LAS TORRES(2);GUANABANO
GBVIP029;PLANTA GUANABANO (VIP 17);GUANABANO
GBVIP030;PLANTA GUANABANO (VIP2);GUANABANO
GBTP026;TDA.TOROCAGUA (2);GUANABANO
GBTP025;TDA.LAS TORRES(3);GUANABANO
GBTP025;TDA.LAS TORRES(3);GUANABANO
GBVIP028;CEDIS LA GRANJA - VIP 8;GUANABANO
GBTP023;TDA.LOARQUE(2);GUANABANO
GBTP023;TDA.LOARQUE(2);GUANABANO
GBTP028;TDA.BOULEVARD SUYAPA (2);GUANABANO
